id,prompt,CLIPScore
84_Black dress._1,A woman dressed in black smiling with a toothbrush in her hand.,24.17
84_Black dress._3,A woman dressed in black smiling with a toothbrush in her hand.,23.04
84_Black dress._4,A woman dressed in black smiling with a toothbrush in her hand.,23.30
84_A woman smiling._0,A woman dressed in black smiling with a toothbrush in her hand.,23.60
84_A woman smiling._1,A woman dressed in black smiling with a toothbrush in her hand.,24.86
84_A woman smiling._2,A woman dressed in black smiling with a toothbrush in her hand.,24.68
84_A woman smiling._3,A woman dressed in black smiling with a toothbrush in her hand.,24.16
84_A woman smiling._4,A woman dressed in black smiling with a toothbrush in her hand.,23.66
84_Teeth._0,A woman dressed in black smiling with a toothbrush in her hand.,18.64
84_Teeth._1,A woman dressed in black smiling with a toothbrush in her hand.,19.10
84_Teeth._2,A woman dressed in black smiling with a toothbrush in her hand.,19.94
84_Teeth._3,A woman dressed in black smiling with a toothbrush in her hand.,18.21
84_Teeth._4,A woman dressed in black smiling with a toothbrush in her hand.,19.99
coco_111485_stable_diffusion_v2_1,GUY WITH UMBRELLA HAT SITTING A TABLE WITH ANOTHER PERSON WITH A HAT UNDER A RED UMBERLLA,37.37
85_A guy with an umbrella hat sitting at a table under a red umbrella_0,GUY WITH UMBRELLA HAT SITTING A TABLE WITH ANOTHER PERSON WITH A HAT UNDER A RED UMBERLLA,33.95
85_A guy with an umbrella hat sitting at a table under a red umbrella_1,GUY WITH UMBRELLA HAT SITTING A TABLE WITH ANOTHER PERSON WITH A HAT UNDER A RED UMBERLLA,34.16
85_A guy sitting at a table under a red umbrella._1,GUY WITH UMBRELLA HAT SITTING A TABLE WITH ANOTHER PERSON WITH A HAT UNDER A RED UMBERLLA,30.57
85_A guy sitting at a table under a red umbrella._2,GUY WITH UMBRELLA HAT SITTING A TABLE WITH ANOTHER PERSON WITH A HAT UNDER A RED UMBERLLA,29.88
85_A guy sitting at a table under a red umbrella._3,GUY WITH UMBRELLA HAT SITTING A TABLE WITH ANOTHER PERSON WITH A HAT UNDER A RED UMBERLLA,33.15
85_A guy sitting at a table under a red umbrella._4,GUY WITH UMBRELLA HAT SITTING A TABLE WITH ANOTHER PERSON WITH A HAT UNDER A RED UMBERLLA,28.26
85_A guy with an umbrella hat._3,GUY WITH UMBRELLA HAT SITTING A TABLE WITH ANOTHER PERSON WITH A HAT UNDER A RED UMBERLLA,23.25
85_A guy with a hat._0,GUY WITH UMBRELLA HAT SITTING A TABLE WITH ANOTHER PERSON WITH A HAT UNDER A RED UMBERLLA,20.77
85_A guy with a hat._1,GUY WITH UMBRELLA HAT SITTING A TABLE WITH ANOTHER PERSON WITH A HAT UNDER A RED UMBERLLA,22.16
85_A guy with a hat._2,GUY WITH UMBRELLA HAT SITTING A TABLE WITH ANOTHER PERSON WITH A HAT UNDER A RED UMBERLLA,20.82
85_A guy with a hat._3,GUY WITH UMBRELLA HAT SITTING A TABLE WITH ANOTHER PERSON WITH A HAT UNDER A RED UMBERLLA,20.72
85_A guy sitting at a table._0,GUY WITH UMBRELLA HAT SITTING A TABLE WITH ANOTHER PERSON WITH A HAT UNDER A RED UMBERLLA,24.73
85_A guy sitting at a table._1,GUY WITH UMBRELLA HAT SITTING A TABLE WITH ANOTHER PERSON WITH A HAT UNDER A RED UMBERLLA,20.24
85_A guy sitting at a table._2,GUY WITH UMBRELLA HAT SITTING A TABLE WITH ANOTHER PERSON WITH A HAT UNDER A RED UMBERLLA,21.30
85_A guy sitting at a table._3,GUY WITH UMBRELLA HAT SITTING A TABLE WITH ANOTHER PERSON WITH A HAT UNDER A RED UMBERLLA,24.38
85_A guy sitting at a table._4,GUY WITH UMBRELLA HAT SITTING A TABLE WITH ANOTHER PERSON WITH A HAT UNDER A RED UMBERLLA,25.42
85_An umbrella hat._0,GUY WITH UMBRELLA HAT SITTING A TABLE WITH ANOTHER PERSON WITH A HAT UNDER A RED UMBERLLA,26.37
85_An umbrella hat._3,GUY WITH UMBRELLA HAT SITTING A TABLE WITH ANOTHER PERSON WITH A HAT UNDER A RED UMBERLLA,27.27
85_A guy._0,GUY WITH UMBRELLA HAT SITTING A TABLE WITH ANOTHER PERSON WITH A HAT UNDER A RED UMBERLLA,16.26
85_A guy._1,GUY WITH UMBRELLA HAT SITTING A TABLE WITH ANOTHER PERSON WITH A HAT UNDER A RED UMBERLLA,18.55
85_A guy._3,GUY WITH UMBRELLA HAT SITTING A TABLE WITH ANOTHER PERSON WITH A HAT UNDER A RED UMBERLLA,14.28
85_A red umbrella._2,GUY WITH UMBRELLA HAT SITTING A TABLE WITH ANOTHER PERSON WITH A HAT UNDER A RED UMBERLLA,31.52
85_A red umbrella._3,GUY WITH UMBRELLA HAT SITTING A TABLE WITH ANOTHER PERSON WITH A HAT UNDER A RED UMBERLLA,27.39
85_A red umbrella._4,GUY WITH UMBRELLA HAT SITTING A TABLE WITH ANOTHER PERSON WITH A HAT UNDER A RED UMBERLLA,27.71
coco_103653_stable_diffusion_v2_1,Two men in neon yellow safety jackets sharing a meal next to a food car.,32.93
86_Two men in neon yellow safety jackets sharing a meal next to a food car._1,Two men in neon yellow safety jackets sharing a meal next to a food car.,32.71
86_Two men in neon yellow safety jackets sharing a meal next to a food car._2,Two men in neon yellow safety jackets sharing a meal next to a food car.,33.75
86_Two men in neon yellow safety jackets sharing a meal._0,Two men in neon yellow safety jackets sharing a meal next to a food car.,32.24
86_Two men in neon yellow safety jackets sharing a meal._2,Two men in neon yellow safety jackets sharing a meal next to a food car.,37.86
86_Two men in neon yellow safety jackets sharing a meal._3,Two men in neon yellow safety jackets sharing a meal next to a food car.,33.74
86_Two men in neon yellow safety jackets sharing a meal._4,Two men in neon yellow safety jackets sharing a meal next to a food car.,28.43
86_Two men sharing a meal next to a food car._4,Two men in neon yellow safety jackets sharing a meal next to a food car.,30.80
86_Men in neon yellow safety jackets next to a food car._1,Two men in neon yellow safety jackets sharing a meal next to a food car.,25.98
86_Men in neon yellow safety jackets next to a food car._3,Two men in neon yellow safety jackets sharing a meal next to a food car.,23.93
86_Two men in neon yellow safety jackets._0,Two men in neon yellow safety jackets sharing a meal next to a food car.,27.15
86_Two men in neon yellow safety jackets._2,Two men in neon yellow safety jackets sharing a meal next to a food car.,28.33
86_Two men in neon yellow safety jackets._3,Two men in neon yellow safety jackets sharing a meal next to a food car.,25.09
86_Two men in neon yellow safety jackets._4,Two men in neon yellow safety jackets sharing a meal next to a food car.,26.35
86_Two men sharing a meal._0,Two men in neon yellow safety jackets sharing a meal next to a food car.,26.71
86_Two men sharing a meal._1,Two men in neon yellow safety jackets sharing a meal next to a food car.,26.14
86_Two men sharing a meal._2,Two men in neon yellow safety jackets sharing a meal next to a food car.,25.77
86_Two men sharing a meal._3,Two men in neon yellow safety jackets sharing a meal next to a food car.,27.71
86_Two men sharing a meal._4,Two men in neon yellow safety jackets sharing a meal next to a food car.,27.54
86_A meal next to a food car._2,Two men in neon yellow safety jackets sharing a meal next to a food car.,25.31
86_A meal next to a food car._4,Two men in neon yellow safety jackets sharing a meal next to a food car.,23.53
86_Two men._0,Two men in neon yellow safety jackets sharing a meal next to a food car.,18.30
86_Two men._1,Two men in neon yellow safety jackets sharing a meal next to a food car.,17.95
86_Two men._2,Two men in neon yellow safety jackets sharing a meal next to a food car.,17.84
86_Two men._3,Two men in neon yellow safety jackets sharing a meal next to a food car.,18.50
86_Neon yellow safety jackets._0,Two men in neon yellow safety jackets sharing a meal next to a food car.,24.83
86_A meal._0,Two men in neon yellow safety jackets sharing a meal next to a food car.,13.97
86_A meal._1,Two men in neon yellow safety jackets sharing a meal next to a food car.,18.83
86_A meal._2,Two men in neon yellow safety jackets sharing a meal next to a food car.,16.04
86_A meal._4,Two men in neon yellow safety jackets sharing a meal next to a food car.,19.56
86_A food car._0,Two men in neon yellow safety jackets sharing a meal next to a food car.,23.28
86_A food car._1,Two men in neon yellow safety jackets sharing a meal next to a food car.,18.72
86_A food car._2,Two men in neon yellow safety jackets sharing a meal next to a food car.,22.75
86_A food car._3,Two men in neon yellow safety jackets sharing a meal next to a food car.,23.94
86_A food car._4,Two men in neon yellow safety jackets sharing a meal next to a food car.,27.43
87_an aerial photo of a sandy island in the ocean_0,an aerial photo of a sandy island in the ocean,30.68
87_an aerial photo of a sandy island in the ocean_2,an aerial photo of a sandy island in the ocean,32.20
87_an aerial photo of a sandy island in the ocean_3,an aerial photo of a sandy island in the ocean,30.05
87_an aerial photo of a sandy island in the ocean_4,an aerial photo of a sandy island in the ocean,28.57
87_an aerial photo of a ocean_0,an aerial photo of a sandy island in the ocean,29.68
coco_397109_stable_diffusion_v2_1,A commercial airplane with propellers flying through the air.,26.16
88_A commercial airplane with propellers flying through the air._0,A commercial airplane with propellers flying through the air.,28.91
88_A commercial airplane with propellers flying through the air._1,A commercial airplane with propellers flying through the air.,29.12
88_A commercial airplane with propellers flying through the air._2,A commercial airplane with propellers flying through the air.,26.86
88_A commercial airplane with propellers flying through the air._3,A commercial airplane with propellers flying through the air.,28.00
88_A commercial airplane flying through the air._2,A commercial airplane with propellers flying through the air.,23.46
88_A commercial airplane flying through the air._3,A commercial airplane with propellers flying through the air.,24.19
88_A commercial airplane flying through the air._4,A commercial airplane with propellers flying through the air.,26.01
88_Propellers flying through the air._3,A commercial airplane with propellers flying through the air.,28.37
88_Propellers flying through the air._4,A commercial airplane with propellers flying through the air.,26.87
coco_20046_stable_diffusion_v2_1,An elevated subway train in a major city on a sunny day.,31.93
89_An elevated subway train in a major city on a sunny day._0,An elevated subway train in a major city on a sunny day.,29.93
89_An elevated subway train in a major city on a sunny day._1,An elevated subway train in a major city on a sunny day.,29.09
89_An elevated subway train in a major city on a sunny day._2,An elevated subway train in a major city on a sunny day.,29.01
89_An elevated subway train in a major city on a sunny day._3,An elevated subway train in a major city on a sunny day.,29.46
89_An elevated subway train in a major city on a sunny day._4,An elevated subway train in a major city on a sunny day.,31.78
89_An elevated subway train in a major city (at night)._0,An elevated subway train in a major city on a sunny day.,26.84
89_An elevated subway train in a major city (at night)._1,An elevated subway train in a major city on a sunny day.,27.73
89_An elevated subway train in a major city (at night)._2,An elevated subway train in a major city on a sunny day.,26.26
89_An elevated subway train on a sunny day._2,An elevated subway train in a major city on a sunny day.,31.34
89_A major city on a sunny day._0,An elevated subway train in a major city on a sunny day.,24.84
89_A major city on a sunny day._1,An elevated subway train in a major city on a sunny day.,20.91
89_A major city on a sunny day._2,An elevated subway train in a major city on a sunny day.,23.80
89_A major city on a sunny day._3,An elevated subway train in a major city on a sunny day.,22.63
89_A major city on a sunny day._4,An elevated subway train in a major city on a sunny day.,23.89
89_A subway train._0,An elevated subway train in a major city on a sunny day.,27.23
89_A subway train._1,An elevated subway train in a major city on a sunny day.,26.76
89_A subway train._2,An elevated subway train in a major city on a sunny day.,25.54
89_A subway train._3,An elevated subway train in a major city on a sunny day.,25.51
89_A subway train._4,An elevated subway train in a major city on a sunny day.,26.18
89_A major city._0,An elevated subway train in a major city on a sunny day.,23.79
89_A sunny day._0,An elevated subway train in a major city on a sunny day.,22.91
89_A sunny day._1,An elevated subway train in a major city on a sunny day.,23.75
89_A sunny day._2,An elevated subway train in a major city on a sunny day.,21.87
89_A sunny day._3,An elevated subway train in a major city on a sunny day.,22.37
89_A sunny day._4,An elevated subway train in a major city on a sunny day.,21.52
coco_627537_stable_diffusion_v2_1,A pear lemon and a banana in a wooden bowl.,36.81
90_A pear in a wooden bowl._3,A pear lemon and a banana in a wooden bowl.,35.29
90_A pear in a wooden bowl._4,A pear lemon and a banana in a wooden bowl.,33.09
90_A pear in a wooden bowl._0,A pear lemon and a banana in a wooden bowl.,34.38
90_A pear in a wooden bowl._1,A pear lemon and a banana in a wooden bowl.,33.16
90_A pear in a wooden bowl._2,A pear lemon and a banana in a wooden bowl.,34.18
90_A lemon in a wooden bowl._0,A pear lemon and a banana in a wooden bowl.,31.42
90_A lemon in a wooden bowl._1,A pear lemon and a banana in a wooden bowl.,31.67
90_A lemon in a wooden bowl._2,A pear lemon and a banana in a wooden bowl.,29.22
90_A lemon in a wooden bowl._3,A pear lemon and a banana in a wooden bowl.,35.18
90_A lemon in a wooden bowl._4,A pear lemon and a banana in a wooden bowl.,28.46
90_A banana in a wooden bowl._0,A pear lemon and a banana in a wooden bowl.,28.64
90_A banana in a wooden bowl._1,A pear lemon and a banana in a wooden bowl.,31.17
90_A banana in a wooden bowl._2,A pear lemon and a banana in a wooden bowl.,30.50
90_A banana in a wooden bowl._3,A pear lemon and a banana in a wooden bowl.,34.31
90_A banana in a wooden bowl._4,A pear lemon and a banana in a wooden bowl.,30.83
90_A pear._2,A pear lemon and a banana in a wooden bowl.,27.03
90_A pear._3,A pear lemon and a banana in a wooden bowl.,28.16
90_An orange._0,A pear lemon and a banana in a wooden bowl.,19.56
90_An orange._1,A pear lemon and a banana in a wooden bowl.,20.46
90_An orange._2,A pear lemon and a banana in a wooden bowl.,19.76
90_An orange._3,A pear lemon and a banana in a wooden bowl.,20.72
90_An orange._4,A pear lemon and a banana in a wooden bowl.,21.53
90_A banana._0,A pear lemon and a banana in a wooden bowl.,26.02
90_A banana._1,A pear lemon and a banana in a wooden bowl.,26.01
90_A banana._2,A pear lemon and a banana in a wooden bowl.,25.71
90_A banana._3,A pear lemon and a banana in a wooden bowl.,26.18
90_A banana._4,A pear lemon and a banana in a wooden bowl.,23.82
90_A wooden bowl._0,A pear lemon and a banana in a wooden bowl.,26.83
90_A wooden bowl._1,A pear lemon and a banana in a wooden bowl.,28.36
90_A wooden bowl._2,A pear lemon and a banana in a wooden bowl.,24.09
90_A wooden bowl._3,A pear lemon and a banana in a wooden bowl.,27.90
90_A wooden bowl._4,A pear lemon and a banana in a wooden bowl.,23.28
coco_321596_stable_diffusion_v2_1,A chair in the corner on a boat.,32.65
91_A chair in the corner on a boat._2_dalle_v2,A chair in the corner on a boat.,32.74
91_A chair in the corner on a boat._1_dalle_v2,A chair in the corner on a boat.,25.43
91_A chair in the corner on a boat._3_dalle_v2,A chair in the corner on a boat.,33.15
91_A chair in the corner on a boat._4_dalle_v2,A chair in the corner on a boat.,31.51
91_A chair._2_dalle_v2,A chair in the corner on a boat.,24.48
91_A chair._1_dalle_v2,A chair in the corner on a boat.,22.55
91_A chair._3_dalle_v2,A chair in the corner on a boat.,26.10
91_A chair._4_dalle_v2,A chair in the corner on a boat.,20.37
coco_668102_stable_diffusion_v2_1,A man sitting on a motorcycle smoking.,31.87
92_A man sitting on a motorcycle smoking._1_dalle_v2,A man sitting on a motorcycle smoking.,31.74
92_A man sitting on a motorcycle smoking._4_dalle_v2,A man sitting on a motorcycle smoking.,30.61
92_A man smoking._0_dalle_v2,A man sitting on a motorcycle smoking.,23.76
92_A man smoking._1_dalle_v2,A man sitting on a motorcycle smoking.,22.82
92_A man smoking._2_dalle_v2,A man sitting on a motorcycle smoking.,25.19
92_A man smoking._3_dalle_v2,A man sitting on a motorcycle smoking.,25.12
92_A man smoking._4_dalle_v2,A man sitting on a motorcycle smoking.,21.00
92_A motorcycle._0_dalle_v2,A man sitting on a motorcycle smoking.,24.26
92_A motorcycle._1_dalle_v2,A man sitting on a motorcycle smoking.,23.60
92_A motorcycle._2_dalle_v2,A man sitting on a motorcycle smoking.,23.52
92_A motorcycle._3_dalle_v2,A man sitting on a motorcycle smoking.,21.62
92_A motorcycle._4_dalle_v2,A man sitting on a motorcycle smoking.,23.93
coco_67370_stable_diffusion_v2_1,A car and a truck sitting in red light.,29.57
93_A car and a truck sitting in red light._0_dalle_v2,A car and a truck sitting in red light.,28.33
93_A car and a truck._3_dalle_v2,A car and a truck sitting in red light.,25.33
93_A car sitting in red light._1_dalle_v2,A car and a truck sitting in red light.,28.28
93_A car sitting in red light._2_dalle_v2,A car and a truck sitting in red light.,26.54
93_A car sitting in red light._3_dalle_v2,A car and a truck sitting in red light.,28.32
93_A truck at a red light._1_dalle_v2,A car and a truck sitting in red light.,27.94
93_A truck at a red light._2_dalle_v2,A car and a truck sitting in red light.,29.85
93_A car._0_dalle_v2,A car and a truck sitting in red light.,22.09
93_A car._2_dalle_v2,A car and a truck sitting in red light.,21.62
93_A car._3_dalle_v2,A car and a truck sitting in red light.,22.98
93_A car._4_dalle_v2,A car and a truck sitting in red light.,23.25
93_A truck._0_dalle_v2,A car and a truck sitting in red light.,21.00
93_A truck._1_dalle_v2,A car and a truck sitting in red light.,21.78
93_A truck._2_dalle_v2,A car and a truck sitting in red light.,20.37
93_A truck._3_dalle_v2,A car and a truck sitting in red light.,24.30
93_A truck._4_dalle_v2,A car and a truck sitting in red light.,24.13
93_A red light._0_dalle_v2,A car and a truck sitting in red light.,25.96
93_A red light._1_dalle_v2,A car and a truck sitting in red light.,23.70
93_A red light._2_dalle_v2,A car and a truck sitting in red light.,27.06
93_A red light._3_dalle_v2,A car and a truck sitting in red light.,24.26
93_A red light._4_dalle_v2,A car and a truck sitting in red light.,24.58
coco_426642_stable_diffusion_v2_1,A man at a food truck viewing the menu.,32.09
94_A man at a food truck viewing the menu._0_dalle_v2,A man at a food truck viewing the menu.,33.06
94_A man at a food truck viewing the menu._1_dalle_v2,A man at a food truck viewing the menu.,35.99
94_A man at a food truck viewing the menu._2_dalle_v2,A man at a food truck viewing the menu.,33.07
94_A man at a food truck viewing the menu._3_dalle_v2,A man at a food truck viewing the menu.,32.93
94_A man at a food truck viewing the menu._4_dalle_v2,A man at a food truck viewing the menu.,32.47
94_A man at a food truck._0_dalle_v2,A man at a food truck viewing the menu.,27.64
94_A man at a food truck._2_dalle_v2,A man at a food truck viewing the menu.,29.98
94_A man at a food truck._4_dalle_v2,A man at a food truck viewing the menu.,30.28
94_A man viewing the menu._0_dalle_v2,A man at a food truck viewing the menu.,25.37
94_A man viewing the menu._1_dalle_v2,A man at a food truck viewing the menu.,26.75
94_A man viewing the menu._2_dalle_v2,A man at a food truck viewing the menu.,27.98
94_A man viewing the menu._3_dalle_v2,A man at a food truck viewing the menu.,27.31
94_A man viewing the menu._4_dalle_v2,A man at a food truck viewing the menu.,26.85
94_A food truck with a menu._2_dalle_v2,A man at a food truck viewing the menu.,30.70
94_A food truck with a menu._3_dalle_v2,A man at a food truck viewing the menu.,30.83
94_A food truck with a menu._4_dalle_v2,A man at a food truck viewing the menu.,28.19
94_A man._0_dalle_v2,A man at a food truck viewing the menu.,21.26
94_A man._1_dalle_v2,A man at a food truck viewing the menu.,19.70
94_A man._2_dalle_v2,A man at a food truck viewing the menu.,20.81
94_A man._3_dalle_v2,A man at a food truck viewing the menu.,21.62
94_A man._4_dalle_v2,A man at a food truck viewing the menu.,21.99
94_A food truck._0_dalle_v2,A man at a food truck viewing the menu.,23.98
94_A food truck._2_dalle_v2,A man at a food truck viewing the menu.,25.68
94_A food truck._3_dalle_v2,A man at a food truck viewing the menu.,27.18
94_A food truck._4_dalle_v2,A man at a food truck viewing the menu.,27.38
94_A menu._1_dalle_v2,A man at a food truck viewing the menu.,27.40
94_A menu._2_dalle_v2,A man at a food truck viewing the menu.,24.83
94_A menu._3_dalle_v2,A man at a food truck viewing the menu.,26.68
94_A menu._4_dalle_v2,A man at a food truck viewing the menu.,21.41
coco_685662_stable_diffusion_v2_1,A man and a woman posing in front of a motorcycle.,38.13
95_A man and a woman posing in front of a motorcycle._0_dalle_v2,A man and a woman posing in front of a motorcycle.,34.49
95_A man and a woman posing in front of a motorcycle._1_dalle_v2,A man and a woman posing in front of a motorcycle.,36.70
95_A man and a woman posing in front of a motorcycle._2_dalle_v2,A man and a woman posing in front of a motorcycle.,33.79
95_A man and a woman posing in front of a motorcycle._3_dalle_v2,A man and a woman posing in front of a motorcycle.,36.32
95_A man and a woman posing in front of a motorcycle._4_dalle_v2,A man and a woman posing in front of a motorcycle.,36.03
95_A man and a woman posing._0_dalle_v2,A man and a woman posing in front of a motorcycle.,24.96
95_A man and a woman posing._1_dalle_v2,A man and a woman posing in front of a motorcycle.,28.05
95_A man and a woman posing._2_dalle_v2,A man and a woman posing in front of a motorcycle.,26.14
95_A man and a woman posing._3_dalle_v2,A man and a woman posing in front of a motorcycle.,25.60
95_A man and a woman posing._4_dalle_v2,A man and a woman posing in front of a motorcycle.,24.57
95_A man posing in front of a motorcycle._0_dalle_v2,A man and a woman posing in front of a motorcycle.,25.66
95_A man posing in front of a motorcycle._1_dalle_v2,A man and a woman posing in front of a motorcycle.,25.39
95_A man posing in front of a motorcycle._2_dalle_v2,A man and a woman posing in front of a motorcycle.,28.55
95_A man posing in front of a motorcycle._3_dalle_v2,A man and a woman posing in front of a motorcycle.,27.63
95_A man posing in front of a motorcycle._4_dalle_v2,A man and a woman posing in front of a motorcycle.,27.62
95_A woman posing in front of a motorcycle._0_dalle_v2,A man and a woman posing in front of a motorcycle.,26.18
95_A woman posing in front of a motorcycle._1_dalle_v2,A man and a woman posing in front of a motorcycle.,23.49
95_A woman posing in front of a motorcycle._2_dalle_v2,A man and a woman posing in front of a motorcycle.,24.73
95_A woman posing in front of a motorcycle._3_dalle_v2,A man and a woman posing in front of a motorcycle.,24.98
95_A woman posing in front of a motorcycle._4_dalle_v2,A man and a woman posing in front of a motorcycle.,23.94
95_A man._0_dalle_v2,A man and a woman posing in front of a motorcycle.,17.42
95_A man._1_dalle_v2,A man and a woman posing in front of a motorcycle.,14.77
95_A man._2_dalle_v2,A man and a woman posing in front of a motorcycle.,15.17
95_A man._3_dalle_v2,A man and a woman posing in front of a motorcycle.,14.38
95_A man._4_dalle_v2,A man and a woman posing in front of a motorcycle.,15.78
95_A woman._0_dalle_v2,A man and a woman posing in front of a motorcycle.,21.91
95_A woman._1_dalle_v2,A man and a woman posing in front of a motorcycle.,18.12
95_A woman._2_dalle_v2,A man and a woman posing in front of a motorcycle.,19.12
95_A woman._3_dalle_v2,A man and a woman posing in front of a motorcycle.,16.99
95_A woman._4_dalle_v2,A man and a woman posing in front of a motorcycle.,17.72
95_A motorcycle._0_dalle_v2,A man and a woman posing in front of a motorcycle.,22.22
95_A motorcycle._1_dalle_v2,A man and a woman posing in front of a motorcycle.,21.55
95_A motorcycle._2_dalle_v2,A man and a woman posing in front of a motorcycle.,20.03
95_A motorcycle._4_dalle_v2,A man and a woman posing in front of a motorcycle.,19.90
coco_751840_stable_diffusion_v2_1,A man in a black suit surfing a large wave,31.73
96_A man in a black suit surfing a large wave_0_dalle_v2,A man in a black suit surfing a large wave,33.97
96_A man in a black suit surfing a large wave_1_dalle_v2,A man in a black suit surfing a large wave,33.87
96_A man in a black suit surfing a large wave_2_dalle_v2,A man in a black suit surfing a large wave,32.45
96_A man in a black suit surfing a large wave_3_dalle_v2,A man in a black suit surfing a large wave,30.22
96_A man in a black suit surfing a large wave_4_dalle_v2,A man in a black suit surfing a large wave,32.02
96_A man surfing a large wave._1_dalle_v2,A man in a black suit surfing a large wave,27.91
96_A man surfing a large wave._3_dalle_v2,A man in a black suit surfing a large wave,28.95
96_A black suit on a large wave._0_dalle_v2,A man in a black suit surfing a large wave,30.40
96_A black suit on a large wave._1_dalle_v2,A man in a black suit surfing a large wave,31.14
96_A black suit on a large wave._2_dalle_v2,A man in a black suit surfing a large wave,31.35
96_A black suit on a large wave._3_dalle_v2,A man in a black suit surfing a large wave,32.28
96_A black suit on a large wave._4_dalle_v2,A man in a black suit surfing a large wave,30.97
96_A man._0_dalle_v2,A man in a black suit surfing a large wave,13.74
96_A man._1_dalle_v2,A man in a black suit surfing a large wave,16.06
96_A man._2_dalle_v2,A man in a black suit surfing a large wave,16.65
96_A man._3_dalle_v2,A man in a black suit surfing a large wave,15.88
96_A man._4_dalle_v2,A man in a black suit surfing a large wave,17.93
96_A black suit._1_dalle_v2,A man in a black suit surfing a large wave,27.06
96_A black suit._2_dalle_v2,A man in a black suit surfing a large wave,22.00
96_A black suit._3_dalle_v2,A man in a black suit surfing a large wave,25.50
96_A black suit._4_dalle_v2,A man in a black suit surfing a large wave,27.91
96_A large wave._0_dalle_v2,A man in a black suit surfing a large wave,27.33
96_A large wave._1_dalle_v2,A man in a black suit surfing a large wave,27.14
96_A large wave._2_dalle_v2,A man in a black suit surfing a large wave,27.13
96_A large wave._3_dalle_v2,A man in a black suit surfing a large wave,27.54
96_A large wave._4_dalle_v2,A man in a black suit surfing a large wave,28.74
coco_251210_stable_diffusion_v2_1,A man standing by an oven.,33.56
97_A man standing by an oven._0_dalle_v2,A man standing by an oven.,32.60
97_A man standing by an oven._1_dalle_v2,A man standing by an oven.,31.87
97_A man standing by an oven._2_dalle_v2,A man standing by an oven.,33.09
97_A man standing by an oven._3_dalle_v2,A man standing by an oven.,31.98
97_A man standing by an oven._4_dalle_v2,A man standing by an oven.,32.14
97_A man._0_dalle_v2,A man standing by an oven.,20.88
97_A man._1_dalle_v2,A man standing by an oven.,17.48
97_A man._2_dalle_v2,A man standing by an oven.,17.75
97_A man._3_dalle_v2,A man standing by an oven.,21.83
97_A man._4_dalle_v2,A man standing by an oven.,20.07
97_An oven._0_dalle_v2,A man standing by an oven.,26.85
97_An oven._1_dalle_v2,A man standing by an oven.,25.19
97_An oven._2_dalle_v2,A man standing by an oven.,28.84
97_An oven._3_dalle_v2,A man standing by an oven.,28.56
97_An oven._4_dalle_v2,A man standing by an oven.,27.75
coco_625027_stable_diffusion_v2_1,A white slope covers the background while the foreground features a grassy slope with several rams grazing and one measly and underdeveloped evergreen in the foreground.  ,32.22
98_A grassy slope with several rams grazing._0_dalle_v2,A white slope covers the background while the foreground features a grassy slope with several rams grazing and one measly and underdeveloped evergreen in the foreground.  ,31.82
98_A grassy slope with several rams grazing._1_dalle_v2,A white slope covers the background while the foreground features a grassy slope with several rams grazing and one measly and underdeveloped evergreen in the foreground.  ,30.31
98_A grassy slope with several rams grazing._2_dalle_v2,A white slope covers the background while the foreground features a grassy slope with several rams grazing and one measly and underdeveloped evergreen in the foreground.  ,33.24
98_A grassy slope with several rams grazing._3_dalle_v2,A white slope covers the background while the foreground features a grassy slope with several rams grazing and one measly and underdeveloped evergreen in the foreground.  ,31.26
98_A grassy slope with several rams grazing._4_dalle_v2,A white slope covers the background while the foreground features a grassy slope with several rams grazing and one measly and underdeveloped evergreen in the foreground.  ,29.93
98_A white slope in the background._0_dalle_v2,A white slope covers the background while the foreground features a grassy slope with several rams grazing and one measly and underdeveloped evergreen in the foreground.  ,23.03
98_A white slope in the background._1_dalle_v2,A white slope covers the background while the foreground features a grassy slope with several rams grazing and one measly and underdeveloped evergreen in the foreground.  ,21.45
98_A white slope in the background._2_dalle_v2,A white slope covers the background while the foreground features a grassy slope with several rams grazing and one measly and underdeveloped evergreen in the foreground.  ,22.39
98_A white slope in the background._3_dalle_v2,A white slope covers the background while the foreground features a grassy slope with several rams grazing and one measly and underdeveloped evergreen in the foreground.  ,22.06
98_A white slope in the background._4_dalle_v2,A white slope covers the background while the foreground features a grassy slope with several rams grazing and one measly and underdeveloped evergreen in the foreground.  ,22.03
98_Several rams grazing._0_dalle_v2,A white slope covers the background while the foreground features a grassy slope with several rams grazing and one measly and underdeveloped evergreen in the foreground.  ,29.59
98_Several rams grazing._1_dalle_v2,A white slope covers the background while the foreground features a grassy slope with several rams grazing and one measly and underdeveloped evergreen in the foreground.  ,31.12
98_Several rams grazing._2_dalle_v2,A white slope covers the background while the foreground features a grassy slope with several rams grazing and one measly and underdeveloped evergreen in the foreground.  ,31.53
98_Several rams grazing._3_dalle_v2,A white slope covers the background while the foreground features a grassy slope with several rams grazing and one measly and underdeveloped evergreen in the foreground.  ,29.32
98_Several rams grazing._4_dalle_v2,A white slope covers the background while the foreground features a grassy slope with several rams grazing and one measly and underdeveloped evergreen in the foreground.  ,31.33
98_One measly and underdeveloped evergreen._0_dalle_v2,A white slope covers the background while the foreground features a grassy slope with several rams grazing and one measly and underdeveloped evergreen in the foreground.  ,16.85
