id,prompt,ALIGNSCore
70_A vast expanse of snow-covered land by a mountain._4,Multiple skiers travelling across a vast expanse of snow covered land towards a mountain.,13.36
70_Multiple skiers._3,Multiple skiers travelling across a vast expanse of snow covered land towards a mountain.,14.69
70_Multiple skiers._4,Multiple skiers travelling across a vast expanse of snow covered land towards a mountain.,14.78
70_A mountain._0,Multiple skiers travelling across a vast expanse of snow covered land towards a mountain.,7.31
70_A mountain._1,Multiple skiers travelling across a vast expanse of snow covered land towards a mountain.,7.37
70_A mountain._2,Multiple skiers travelling across a vast expanse of snow covered land towards a mountain.,6.85
70_A mountain._3,Multiple skiers travelling across a vast expanse of snow covered land towards a mountain.,7.79
70_A mountain._4,Multiple skiers travelling across a vast expanse of snow covered land towards a mountain.,7.35
70_A snow-covered land._0,Multiple skiers travelling across a vast expanse of snow covered land towards a mountain.,6.77
70_A snow-covered land._1,Multiple skiers travelling across a vast expanse of snow covered land towards a mountain.,10.07
70_A snow-covered land._3,Multiple skiers travelling across a vast expanse of snow covered land towards a mountain.,9.68
70_A snow-covered land._4,Multiple skiers travelling across a vast expanse of snow covered land towards a mountain.,9.51
coco_544211_stable_diffusion_v2_1,The beach is crowded with red and white beach umbrellas.,18.01
71_The beach is crowded with red and white beach umbrellas._0,The beach is crowded with red and white beach umbrellas.,19.25
71_The beach is crowded with red and white beach umbrellas._1,The beach is crowded with red and white beach umbrellas.,17.98
71_The beach is crowded with red and white beach umbrellas._2,The beach is crowded with red and white beach umbrellas.,16.90
71_The beach is crowded with red and white beach umbrellas._3,The beach is crowded with red and white beach umbrellas.,15.47
71_The beach is crowded with red and white beach umbrellas._4,The beach is crowded with red and white beach umbrellas.,18.00
71_Red and white beach umbrellas (in a river)._2,The beach is crowded with red and white beach umbrellas.,14.95
71_Red and white beach umbrellas (in a river)._3,The beach is crowded with red and white beach umbrellas.,11.19
71_Red and white beach umbrellas (in a river)._4,The beach is crowded with red and white beach umbrellas.,12.04
71_A beach._0,The beach is crowded with red and white beach umbrellas.,6.75
71_A beach._1,The beach is crowded with red and white beach umbrellas.,6.20
71_A beach._2,The beach is crowded with red and white beach umbrellas.,7.21
71_A beach._3,The beach is crowded with red and white beach umbrellas.,6.46
71_A beach._4,The beach is crowded with red and white beach umbrellas.,6.84
coco_758774_stable_diffusion_v2_1,A lady wearing red playing tennis on a green court.,18.26
72_A lady wearing red playing tennis on a green court._0,A lady wearing red playing tennis on a green court.,15.60
72_A lady wearing red playing tennis on a green court._1,A lady wearing red playing tennis on a green court.,18.75
72_A lady wearing red playing tennis on a green court._2,A lady wearing red playing tennis on a green court.,17.64
72_A lady wearing red playing tennis on a green court._3,A lady wearing red playing tennis on a green court.,20.04
72_A lady wearing red playing tennis on a green court._4,A lady wearing red playing tennis on a green court.,17.71
72_A lady wearing red playing tennis._0,A lady wearing red playing tennis on a green court.,17.79
72_A lady wearing red playing tennis._2,A lady wearing red playing tennis on a green court.,18.11
72_A lady wearing red playing tennis._3,A lady wearing red playing tennis on a green court.,17.40
72_A lady on a blue and green court._0,A lady wearing red playing tennis on a green court.,12.48
72_A lady on a blue and green court._1,A lady wearing red playing tennis on a green court.,13.17
72_A lady on a blue and green court._2,A lady wearing red playing tennis on a green court.,11.94
72_A lady on a blue and green court._4,A lady wearing red playing tennis on a green court.,6.77
72_A lady wearing red._0,A lady wearing red playing tennis on a green court.,5.84
72_A lady wearing red._1,A lady wearing red playing tennis on a green court.,8.27
72_A lady wearing red._2,A lady wearing red playing tennis on a green court.,9.23
72_A lady wearing red._3,A lady wearing red playing tennis on a green court.,7.29
72_A lady wearing red._4,A lady wearing red playing tennis on a green court.,5.98
72_A green court._0,A lady wearing red playing tennis on a green court.,10.86
72_A green court._1,A lady wearing red playing tennis on a green court.,12.09
72_A green court._2,A lady wearing red playing tennis on a green court.,11.45
72_A green court._3,A lady wearing red playing tennis on a green court.,9.47
72_A green court._4,A lady wearing red playing tennis on a green court.,8.50
coco_464482_stable_diffusion_v2_1,A sign laying on a lush green field near a body of water.,16.74
73_A sign laying on a lush green field near a body of water._0,A sign laying on a lush green field near a body of water.,17.11
73_A sign laying on a lush green field near a body of water._1,A sign laying on a lush green field near a body of water.,18.57
73_A sign laying on a lush green field near a body of water._2,A sign laying on a lush green field near a body of water.,20.24
73_A sign laying on a lush green field near a body of water._3,A sign laying on a lush green field near a body of water.,14.08
73_A sign laying on a lush green field near a body of water._4,A sign laying on a lush green field near a body of water.,15.54
73_A sign laying on a lush green field._0,A sign laying on a lush green field near a body of water.,10.25
73_A sign laying on a lush green field._1,A sign laying on a lush green field near a body of water.,14.10
73_A sign laying on a lush green field._2,A sign laying on a lush green field near a body of water.,15.69
73_A sign laying on a lush green field._3,A sign laying on a lush green field near a body of water.,12.48
73_A sign laying on a lush green field._4,A sign laying on a lush green field near a body of water.,15.45
73_A sign near a body of water._0,A sign laying on a lush green field near a body of water.,10.70
73_A sign near a body of water._1,A sign laying on a lush green field near a body of water.,13.30
73_A sign near a body of water._2,A sign laying on a lush green field near a body of water.,10.17
73_A sign near a body of water._3,A sign laying on a lush green field near a body of water.,10.24
73_A sign near a body of water._4,A sign laying on a lush green field near a body of water.,13.40
73_A lush green field near a body of water._0,A sign laying on a lush green field near a body of water.,12.48
73_A lush green field near a body of water._1,A sign laying on a lush green field near a body of water.,8.17
73_A lush green field near a body of water._2,A sign laying on a lush green field near a body of water.,13.50
73_A lush green field near a body of water._3,A sign laying on a lush green field near a body of water.,13.29
73_A lush green field near a body of water._4,A sign laying on a lush green field near a body of water.,10.88
73_A sign._0,A sign laying on a lush green field near a body of water.,2.48
73_A sign._1,A sign laying on a lush green field near a body of water.,3.09
73_A sign._2,A sign laying on a lush green field near a body of water.,5.15
73_A sign._3,A sign laying on a lush green field near a body of water.,4.31
73_A sign._4,A sign laying on a lush green field near a body of water.,4.42
73_A lush green field._0,A sign laying on a lush green field near a body of water.,7.08
73_A lush green field._1,A sign laying on a lush green field near a body of water.,7.42
73_A lush green field._2,A sign laying on a lush green field near a body of water.,7.07
73_A lush green field._3,A sign laying on a lush green field near a body of water.,5.41
73_A lush green field._4,A sign laying on a lush green field near a body of water.,7.23
73_A body of water._2,A sign laying on a lush green field near a body of water.,6.45
coco_29031_stable_diffusion_v2_1,A cat on top of a desk on a laptop.,17.07
74_A cat on top of a desk on a laptop._1,A cat on top of a desk on a laptop.,17.55
74_A cat on top of a desk on a laptop._2,A cat on top of a desk on a laptop.,17.01
74_A cat on the desk._0,A cat on top of a desk on a laptop.,15.18
74_A cat on the desk._1,A cat on top of a desk on a laptop.,12.12
74_A laptop on a desk._0,A cat on top of a desk on a laptop.,10.52
74_A laptop on a desk._1,A cat on top of a desk on a laptop.,10.16
74_A laptop on a desk._2,A cat on top of a desk on a laptop.,10.21
74_A laptop on a desk._3,A cat on top of a desk on a laptop.,10.91
74_A laptop on a desk._4,A cat on top of a desk on a laptop.,8.24
74_A cat._0,A cat on top of a desk on a laptop.,7.06
74_A cat._1,A cat on top of a desk on a laptop.,7.34
74_A cat._2,A cat on top of a desk on a laptop.,8.83
74_A cat._3,A cat on top of a desk on a laptop.,8.00
74_A cat._4,A cat on top of a desk on a laptop.,10.28
74_a desk._0,A cat on top of a desk on a laptop.,7.57
74_a desk._1,A cat on top of a desk on a laptop.,8.57
74_a desk._3,A cat on top of a desk on a laptop.,8.83
74_a desk._4,A cat on top of a desk on a laptop.,7.64
74_A laptop._0,A cat on top of a desk on a laptop.,6.50
coco_435097_stable_diffusion_v2_1,Some very big furry brown bears in a big grass field.,18.71
75_Some very big furry brown bears in a big grass field._0,Some very big furry brown bears in a big grass field.,17.35
75_Some very big furry brown bears in a big grass field._1,Some very big furry brown bears in a big grass field.,17.31
75_Some very big furry brown bears in a big grass field._2,Some very big furry brown bears in a big grass field.,16.66
75_Some very big furry brown bears in a big grass field._3,Some very big furry brown bears in a big grass field.,17.39
75_Some very big furry brown bears in a big grass field._4,Some very big furry brown bears in a big grass field.,17.47
75_Some very big furry brown bears._0,Some very big furry brown bears in a big grass field.,15.55
75_Some very big furry brown bears._4,Some very big furry brown bears in a big grass field.,15.70
75_A big grass field._0,Some very big furry brown bears in a big grass field.,5.66
75_A big grass field._1,Some very big furry brown bears in a big grass field.,6.65
75_A big grass field._2,Some very big furry brown bears in a big grass field.,6.05
75_A big grass field._3,Some very big furry brown bears in a big grass field.,6.30
75_A big grass field._4,Some very big furry brown bears in a big grass field.,5.89
75_Very big furry brown bears._0,Some very big furry brown bears in a big grass field.,12.44
75_Very big furry brown bears._4,Some very big furry brown bears in a big grass field.,14.82
coco_178484_stable_diffusion_v2_1,A wooden boat on the shore of a beach.,14.90
76_A wooden boat on the shore of a beach._0,A wooden boat on the shore of a beach.,13.14
76_A wooden boat on the shore of a beach._1,A wooden boat on the shore of a beach.,14.54
76_A wooden boat on the shore of a beach._2,A wooden boat on the shore of a beach.,14.90
76_A wooden boat on the shore of a beach._3,A wooden boat on the shore of a beach.,14.80
76_A wooden boat on the shore of a beach._4,A wooden boat on the shore of a beach.,15.52
76_A wooden boat (in a field)._0,A wooden boat on the shore of a beach.,11.49
76_A wooden boat (in a field)._2,A wooden boat on the shore of a beach.,12.33
76_A wooden boat (in a field)._3,A wooden boat on the shore of a beach.,11.63
76_A wooden boat (in a field)._4,A wooden boat on the shore of a beach.,11.07
76_A shore of a beach._0,A wooden boat on the shore of a beach.,9.55
76_A shore of a beach._1,A wooden boat on the shore of a beach.,7.77
76_A shore of a beach._2,A wooden boat on the shore of a beach.,9.13
76_A shore of a beach._3,A wooden boat on the shore of a beach.,8.53
76_A shore of a beach._4,A wooden boat on the shore of a beach.,8.05
coco_511363_stable_diffusion_v2_1,A woman is bent over next to a small refrigerator.,20.45
77_A woman is bent over next to a small refrigerator._0,A woman is bent over next to a small refrigerator.,20.16
77_A woman is bent over next to a small refrigerator._3,A woman is bent over next to a small refrigerator.,21.92
77_A woman is bent over next to a small refrigerator._4,A woman is bent over next to a small refrigerator.,19.64
77_A woman._0,A woman is bent over next to a small refrigerator.,3.47
77_A woman._1,A woman is bent over next to a small refrigerator.,0.54
77_A woman._2,A woman is bent over next to a small refrigerator.,2.47
77_A woman._3,A woman is bent over next to a small refrigerator.,0.78
77_A woman._4,A woman is bent over next to a small refrigerator.,6.43
77_A small refrigerator._0,A woman is bent over next to a small refrigerator.,8.60
77_A small refrigerator._1,A woman is bent over next to a small refrigerator.,6.72
77_A small refrigerator._2,A woman is bent over next to a small refrigerator.,8.56
77_A small refrigerator._3,A woman is bent over next to a small refrigerator.,7.91
77_A small refrigerator._4,A woman is bent over next to a small refrigerator.,9.10
coco_482435_stable_diffusion_v2_1,Woman with blue dress sitting in modern chair next to vase in a room.,22.93
78_Woman with blue dress sitting in modern chair next to vase in empty room._0,Woman with blue dress sitting in modern chair next to vase in a room.,21.53
78_Woman with blue dress sitting in modern chair next to vase in empty room._1,Woman with blue dress sitting in modern chair next to vase in a room.,23.74
78_Woman with blue dress sitting in modern chair next to vase in empty room._2,Woman with blue dress sitting in modern chair next to vase in a room.,21.26
78_Woman with blue dress sitting in modern chair next to vase in empty room._3,Woman with blue dress sitting in modern chair next to vase in a room.,22.75
78_A woman with a blue dress sitting in a modern chair._0,Woman with blue dress sitting in modern chair next to vase in a room.,19.64
78_A woman with a blue dress sitting in a modern chair._1,Woman with blue dress sitting in modern chair next to vase in a room.,20.58
78_A woman next to a vase._0,Woman with blue dress sitting in modern chair next to vase in a room.,15.04
78_A woman next to a vase._1,Woman with blue dress sitting in modern chair next to vase in a room.,15.41
78_A woman next to a vase._2,Woman with blue dress sitting in modern chair next to vase in a room.,10.35
78_A woman next to a vase._3,Woman with blue dress sitting in modern chair next to vase in a room.,8.88
78_A woman next to a vase._4,Woman with blue dress sitting in modern chair next to vase in a room.,11.24
78_A woman in an empty room._0,Woman with blue dress sitting in modern chair next to vase in a room.,6.17
78_A woman in an empty room._1,Woman with blue dress sitting in modern chair next to vase in a room.,6.72
78_A woman in an empty room._2,Woman with blue dress sitting in modern chair next to vase in a room.,8.41
78_A woman in an empty room._3,Woman with blue dress sitting in modern chair next to vase in a room.,11.80
78_A woman in an empty room._4,Woman with blue dress sitting in modern chair next to vase in a room.,6.45
78_A modern chair next to a vase._0,Woman with blue dress sitting in modern chair next to vase in a room.,13.73
78_A modern chair next to a vase._2,Woman with blue dress sitting in modern chair next to vase in a room.,10.71
78_A modern chair next to a vase._3,Woman with blue dress sitting in modern chair next to vase in a room.,8.33
78_A modern chair next to a vase._4,Woman with blue dress sitting in modern chair next to vase in a room.,9.86
78_A blue dress._0,Woman with blue dress sitting in modern chair next to vase in a room.,9.45
78_A modern chair._1,Woman with blue dress sitting in modern chair next to vase in a room.,5.18
78_A modern chair._2,Woman with blue dress sitting in modern chair next to vase in a room.,8.16
78_A modern chair._3,Woman with blue dress sitting in modern chair next to vase in a room.,5.30
78_A modern chair._4,Woman with blue dress sitting in modern chair next to vase in a room.,8.31
78_A vase._0,Woman with blue dress sitting in modern chair next to vase in a room.,3.36
78_A vase._1,Woman with blue dress sitting in modern chair next to vase in a room.,9.51
78_A vase._2,Woman with blue dress sitting in modern chair next to vase in a room.,3.79
78_A vase._3,Woman with blue dress sitting in modern chair next to vase in a room.,2.91
78_A vase._4,Woman with blue dress sitting in modern chair next to vase in a room.,10.78
78_An empty room._0,Woman with blue dress sitting in modern chair next to vase in a room.,2.14
78_An empty room._1,Woman with blue dress sitting in modern chair next to vase in a room.,1.26
78_An empty room._2,Woman with blue dress sitting in modern chair next to vase in a room.,1.95
78_An empty room._3,Woman with blue dress sitting in modern chair next to vase in a room.,2.53
78_An empty room._4,Woman with blue dress sitting in modern chair next to vase in a room.,2.15
coco_488166_stable_diffusion_v2_1,Two people standing next to an elephant along a river.,17.98
79_Two people standing next to an elephant along a river._0,Two people standing next to an elephant along a river.,17.86
79_Two people standing next to an elephant along a river._3,Two people standing next to an elephant along a river.,18.51
79_Two people standing next to an elephant along a river._4,Two people standing next to an elephant along a river.,17.55
79_Three people standing next to an elephant._4,Two people standing next to an elephant along a river.,12.35
79_Three people along a river._4,Two people standing next to an elephant along a river.,9.47
79_An elephant along a river._0,Two people standing next to an elephant along a river.,12.27
79_An elephant along a river._1,Two people standing next to an elephant along a river.,11.98
79_An elephant along a river._2,Two people standing next to an elephant along a river.,14.53
79_An elephant along a river._3,Two people standing next to an elephant along a river.,14.39
79_An elephant along a river._4,Two people standing next to an elephant along a river.,11.88
79_Two people._0,Two people standing next to an elephant along a river.,4.57
79_Two people._1,Two people standing next to an elephant along a river.,6.76
79_Two people._2,Two people standing next to an elephant along a river.,2.06
79_Two people._3,Two people standing next to an elephant along a river.,5.21
79_Two people._4,Two people standing next to an elephant along a river.,5.92
79_An elephant._0,Two people standing next to an elephant along a river.,9.98
79_An elephant._1,Two people standing next to an elephant along a river.,8.74
79_An elephant._2,Two people standing next to an elephant along a river.,10.94
79_An elephant._3,Two people standing next to an elephant along a river.,9.22
79_An elephant._4,Two people standing next to an elephant along a river.,8.86
79_A river._0,Two people standing next to an elephant along a river.,4.85
79_A river._1,Two people standing next to an elephant along a river.,4.86
79_A river._2,Two people standing next to an elephant along a river.,5.76
79_A river._3,Two people standing next to an elephant along a river.,4.76
79_A river._4,Two people standing next to an elephant along a river.,4.44
coco_653095_stable_diffusion_v2_1,A group of giraffes are gathered together in their enclosure,15.93
80_A group of giraffes are gathered together in their enclosure_0,A group of giraffes are gathered together in their enclosure,16.28
80_A group of giraffes are gathered together in their enclosure_1,A group of giraffes are gathered together in their enclosure,16.03
80_A group of giraffes are gathered together in their enclosure_2,A group of giraffes are gathered together in their enclosure,17.30
80_A group of giraffes are gathered together in their enclosure_3,A group of giraffes are gathered together in their enclosure,15.74
80_A group of giraffes are gathered together in their enclosure_4,A group of giraffes are gathered together in their enclosure,16.19
80_A field._0,A group of giraffes are gathered together in their enclosure,1.14
80_A field._1,A group of giraffes are gathered together in their enclosure,2.06
80_A field._2,A group of giraffes are gathered together in their enclosure,2.47
80_A field._3,A group of giraffes are gathered together in their enclosure,2.90
80_A field._4,A group of giraffes are gathered together in their enclosure,1.77
coco_71258_stable_diffusion_v2_1,A house where you can see the bedroom and relaxing room.,13.86
81_A house where you can see the bedroom and relaxing room._1,A house where you can see the bedroom and relaxing room.,14.01
81_A bedroom._1,A house where you can see the bedroom and relaxing room.,7.09
81_A relaxing room._0,A house where you can see the bedroom and relaxing room.,15.14
coco_339729_stable_diffusion_v2_1,A boy wearing a green shirt posing with some fruit.,19.37
82_A boy wearing a green shirt posing with some fruit._0,A boy wearing a green shirt posing with some fruit.,20.82
82_A boy wearing a green shirt posing with some fruit._1,A boy wearing a green shirt posing with some fruit.,19.87
82_A boy wearing a green shirt posing with some fruit._2,A boy wearing a green shirt posing with some fruit.,21.53
82_A boy wearing a green shirt posing with some fruit._3,A boy wearing a green shirt posing with some fruit.,21.51
82_A boy wearing a green shirt posing with some fruit._4,A boy wearing a green shirt posing with some fruit.,22.44
82_A boy with some fruit._0,A boy wearing a green shirt posing with some fruit.,12.52
82_A boy with some fruit._1,A boy wearing a green shirt posing with some fruit.,17.24
82_A boy with some fruit._2,A boy wearing a green shirt posing with some fruit.,17.47
82_A boy with some fruit._3,A boy wearing a green shirt posing with some fruit.,15.22
82_A boy with some fruit._4,A boy wearing a green shirt posing with some fruit.,18.32
82_A boy wearing a green shirt_0,A boy wearing a green shirt posing with some fruit.,10.24
82_A boy wearing a green shirt_1,A boy wearing a green shirt posing with some fruit.,13.53
82_A boy wearing a green shirt_2,A boy wearing a green shirt posing with some fruit.,14.92
82_A boy wearing a green shirt_3,A boy wearing a green shirt posing with some fruit.,14.79
82_A boy wearing a green shirt_4,A boy wearing a green shirt posing with some fruit.,15.63
82_A boy._0,A boy wearing a green shirt posing with some fruit.,1.87
82_A boy._1,A boy wearing a green shirt posing with some fruit.,8.45
82_A boy._2,A boy wearing a green shirt posing with some fruit.,5.46
82_A boy._3,A boy wearing a green shirt posing with some fruit.,7.03
82_A boy._4,A boy wearing a green shirt posing with some fruit.,9.79
82_A green shirt._0,A boy wearing a green shirt posing with some fruit.,4.63
82_Fruit._0,A boy wearing a green shirt posing with some fruit.,7.17
82_Fruit._1,A boy wearing a green shirt posing with some fruit.,8.86
82_Fruit._2,A boy wearing a green shirt posing with some fruit.,7.90
82_Fruit._3,A boy wearing a green shirt posing with some fruit.,6.98
82_Fruit._4,A boy wearing a green shirt posing with some fruit.,8.54
partiprompt_611_stable_diffusion_v2_1,a panda bear with aviator glasses on its head,20.01
83_a panda bear with aviator glasses on its head_0,a panda bear with aviator glasses on its head,19.52
83_a panda bear with aviator glasses on its head_1,a panda bear with aviator glasses on its head,19.79
83_a panda bear with aviator glasses on its head_2,a panda bear with aviator glasses on its head,19.82
83_a panda bear with aviator glasses on its head_3,a panda bear with aviator glasses on its head,19.82
83_a panda bear with aviator glasses on its head_4,a panda bear with aviator glasses on its head,19.27
83_a panda bear_0,a panda bear with aviator glasses on its head,13.91
83_a panda bear_1,a panda bear with aviator glasses on its head,13.04
83_a panda bear_2,a panda bear with aviator glasses on its head,12.14
83_a panda bear_3,a panda bear with aviator glasses on its head,12.34
83_a panda bear_4,a panda bear with aviator glasses on its head,12.75
83_aviator glasses_0,a panda bear with aviator glasses on its head,9.14
83_aviator glasses_1,a panda bear with aviator glasses on its head,9.00
83_aviator glasses_2,a panda bear with aviator glasses on its head,8.65
83_aviator glasses_3,a panda bear with aviator glasses on its head,7.85
83_aviator glasses_4,a panda bear with aviator glasses on its head,6.51
coco_130602_stable_diffusion_v2_1,A woman dressed in black smiling with a toothbrush in her hand.,19.39
"84_A woman dressed in black, smiling with a toothbrush in her hand._0",A woman dressed in black smiling with a toothbrush in her hand.,20.75
"84_A woman dressed in black, smiling with a toothbrush in her hand._1",A woman dressed in black smiling with a toothbrush in her hand.,21.14
"84_A woman dressed in black, smiling with a toothbrush in her hand._2",A woman dressed in black smiling with a toothbrush in her hand.,21.26
"84_A woman dressed in black, smiling with a toothbrush in her hand._3",A woman dressed in black smiling with a toothbrush in her hand.,18.89
"84_A woman dressed in black, smiling with a toothbrush in her hand._4",A woman dressed in black smiling with a toothbrush in her hand.,21.02
84_A woman with a toothbrush in her hand._0,A woman dressed in black smiling with a toothbrush in her hand.,16.31
84_A woman with a toothbrush in her hand._1,A woman dressed in black smiling with a toothbrush in her hand.,15.50
84_A woman with a toothbrush in her hand._2,A woman dressed in black smiling with a toothbrush in her hand.,16.86
84_A woman with a toothbrush in her hand._3,A woman dressed in black smiling with a toothbrush in her hand.,14.74
84_A woman with a toothbrush in her hand._4,A woman dressed in black smiling with a toothbrush in her hand.,14.61
84_A woman brushing her teeth._0,A woman dressed in black smiling with a toothbrush in her hand.,15.54
84_A woman brushing her teeth._1,A woman dressed in black smiling with a toothbrush in her hand.,15.40
84_A woman brushing her teeth._2,A woman dressed in black smiling with a toothbrush in her hand.,14.69
84_A woman brushing her teeth._3,A woman dressed in black smiling with a toothbrush in her hand.,14.91
84_A woman brushing her teeth._4,A woman dressed in black smiling with a toothbrush in her hand.,15.47
84_A woman dressed in black smiling._0,A woman dressed in black smiling with a toothbrush in her hand.,10.17
84_A woman dressed in black smiling._1,A woman dressed in black smiling with a toothbrush in her hand.,11.69
84_A woman dressed in black smiling._2,A woman dressed in black smiling with a toothbrush in her hand.,14.83
84_A woman dressed in black smiling._3,A woman dressed in black smiling with a toothbrush in her hand.,13.32
84_A woman dressed in black smiling._4,A woman dressed in black smiling with a toothbrush in her hand.,15.30
84_Black dress._0,A woman dressed in black smiling with a toothbrush in her hand.,6.83
84_Black dress._1,A woman dressed in black smiling with a toothbrush in her hand.,6.60
84_Black dress._3,A woman dressed in black smiling with a toothbrush in her hand.,7.97
84_Black dress._4,A woman dressed in black smiling with a toothbrush in her hand.,8.59
84_A woman smiling._0,A woman dressed in black smiling with a toothbrush in her hand.,8.97
84_A woman smiling._1,A woman dressed in black smiling with a toothbrush in her hand.,8.87
84_A woman smiling._2,A woman dressed in black smiling with a toothbrush in her hand.,10.80
84_A woman smiling._3,A woman dressed in black smiling with a toothbrush in her hand.,10.25
84_A woman smiling._4,A woman dressed in black smiling with a toothbrush in her hand.,7.96
84_Teeth._0,A woman dressed in black smiling with a toothbrush in her hand.,3.30
84_Teeth._1,A woman dressed in black smiling with a toothbrush in her hand.,5.43
84_Teeth._2,A woman dressed in black smiling with a toothbrush in her hand.,5.93
84_Teeth._3,A woman dressed in black smiling with a toothbrush in her hand.,1.09
84_Teeth._4,A woman dressed in black smiling with a toothbrush in her hand.,2.44
coco_111485_stable_diffusion_v2_1,GUY WITH UMBRELLA HAT SITTING A TABLE WITH ANOTHER PERSON WITH A HAT UNDER A RED UMBERLLA,19.74
85_A guy with an umbrella hat sitting at a table under a red umbrella_0,GUY WITH UMBRELLA HAT SITTING A TABLE WITH ANOTHER PERSON WITH A HAT UNDER A RED UMBERLLA,18.47
85_A guy with an umbrella hat sitting at a table under a red umbrella_1,GUY WITH UMBRELLA HAT SITTING A TABLE WITH ANOTHER PERSON WITH A HAT UNDER A RED UMBERLLA,19.22
85_A guy sitting at a table under a red umbrella._1,GUY WITH UMBRELLA HAT SITTING A TABLE WITH ANOTHER PERSON WITH A HAT UNDER A RED UMBERLLA,16.23
85_A guy sitting at a table under a red umbrella._2,GUY WITH UMBRELLA HAT SITTING A TABLE WITH ANOTHER PERSON WITH A HAT UNDER A RED UMBERLLA,15.47
85_A guy sitting at a table under a red umbrella._3,GUY WITH UMBRELLA HAT SITTING A TABLE WITH ANOTHER PERSON WITH A HAT UNDER A RED UMBERLLA,17.32
85_A guy sitting at a table under a red umbrella._4,GUY WITH UMBRELLA HAT SITTING A TABLE WITH ANOTHER PERSON WITH A HAT UNDER A RED UMBERLLA,14.32
85_A guy with an umbrella hat._3,GUY WITH UMBRELLA HAT SITTING A TABLE WITH ANOTHER PERSON WITH A HAT UNDER A RED UMBERLLA,8.93
85_A guy with a hat._0,GUY WITH UMBRELLA HAT SITTING A TABLE WITH ANOTHER PERSON WITH A HAT UNDER A RED UMBERLLA,6.59
85_A guy with a hat._1,GUY WITH UMBRELLA HAT SITTING A TABLE WITH ANOTHER PERSON WITH A HAT UNDER A RED UMBERLLA,7.50
85_A guy with a hat._2,GUY WITH UMBRELLA HAT SITTING A TABLE WITH ANOTHER PERSON WITH A HAT UNDER A RED UMBERLLA,7.62
85_A guy with a hat._3,GUY WITH UMBRELLA HAT SITTING A TABLE WITH ANOTHER PERSON WITH A HAT UNDER A RED UMBERLLA,6.41
85_A guy sitting at a table._0,GUY WITH UMBRELLA HAT SITTING A TABLE WITH ANOTHER PERSON WITH A HAT UNDER A RED UMBERLLA,10.05
85_A guy sitting at a table._1,GUY WITH UMBRELLA HAT SITTING A TABLE WITH ANOTHER PERSON WITH A HAT UNDER A RED UMBERLLA,7.14
85_A guy sitting at a table._2,GUY WITH UMBRELLA HAT SITTING A TABLE WITH ANOTHER PERSON WITH A HAT UNDER A RED UMBERLLA,9.78
85_A guy sitting at a table._3,GUY WITH UMBRELLA HAT SITTING A TABLE WITH ANOTHER PERSON WITH A HAT UNDER A RED UMBERLLA,9.78
85_A guy sitting at a table._4,GUY WITH UMBRELLA HAT SITTING A TABLE WITH ANOTHER PERSON WITH A HAT UNDER A RED UMBERLLA,8.25
85_An umbrella hat._0,GUY WITH UMBRELLA HAT SITTING A TABLE WITH ANOTHER PERSON WITH A HAT UNDER A RED UMBERLLA,8.50
85_An umbrella hat._3,GUY WITH UMBRELLA HAT SITTING A TABLE WITH ANOTHER PERSON WITH A HAT UNDER A RED UMBERLLA,10.69
85_A guy._0,GUY WITH UMBRELLA HAT SITTING A TABLE WITH ANOTHER PERSON WITH A HAT UNDER A RED UMBERLLA,3.21
85_A guy._1,GUY WITH UMBRELLA HAT SITTING A TABLE WITH ANOTHER PERSON WITH A HAT UNDER A RED UMBERLLA,5.33
85_A guy._3,GUY WITH UMBRELLA HAT SITTING A TABLE WITH ANOTHER PERSON WITH A HAT UNDER A RED UMBERLLA,1.95
85_A red umbrella._2,GUY WITH UMBRELLA HAT SITTING A TABLE WITH ANOTHER PERSON WITH A HAT UNDER A RED UMBERLLA,14.97
85_A red umbrella._3,GUY WITH UMBRELLA HAT SITTING A TABLE WITH ANOTHER PERSON WITH A HAT UNDER A RED UMBERLLA,12.06
85_A red umbrella._4,GUY WITH UMBRELLA HAT SITTING A TABLE WITH ANOTHER PERSON WITH A HAT UNDER A RED UMBERLLA,12.42
coco_103653_stable_diffusion_v2_1,Two men in neon yellow safety jackets sharing a meal next to a food car.,18.63
86_Two men in neon yellow safety jackets sharing a meal next to a food car._1,Two men in neon yellow safety jackets sharing a meal next to a food car.,17.14
86_Two men in neon yellow safety jackets sharing a meal next to a food car._2,Two men in neon yellow safety jackets sharing a meal next to a food car.,19.65
86_Two men in neon yellow safety jackets sharing a meal._0,Two men in neon yellow safety jackets sharing a meal next to a food car.,17.33
86_Two men in neon yellow safety jackets sharing a meal._2,Two men in neon yellow safety jackets sharing a meal next to a food car.,19.42
86_Two men in neon yellow safety jackets sharing a meal._3,Two men in neon yellow safety jackets sharing a meal next to a food car.,16.99
86_Two men in neon yellow safety jackets sharing a meal._4,Two men in neon yellow safety jackets sharing a meal next to a food car.,17.98
86_Two men sharing a meal next to a food car._4,Two men in neon yellow safety jackets sharing a meal next to a food car.,15.98
86_Men in neon yellow safety jackets next to a food car._1,Two men in neon yellow safety jackets sharing a meal next to a food car.,13.55
86_Men in neon yellow safety jackets next to a food car._3,Two men in neon yellow safety jackets sharing a meal next to a food car.,12.77
86_Two men in neon yellow safety jackets._0,Two men in neon yellow safety jackets sharing a meal next to a food car.,12.55
